index,time,code,open,close,high,low,volumn,money,factor,high_limit,low_limit,avg,pre_close,paused,open_interest
,2020-12-14,300937.XSHE,,,,,,,,,,,,,
,2020-12-15,300937.XSHE,,,,,,,,,,,,,
,2020-12-16,300937.XSHE,,,,,,,,,,,,,
,2020-12-17,300937.XSHE,,,,,,,,,,,,,
,2020-12-18,300937.XSHE,,,,,,,,,,,,,
,2020-12-21,300937.XSHE,,,,,,,,,,,,,
,2020-12-22,300937.XSHE,,,,,,,,,,,,,
,2020-12-23,300937.XSHE,,,,,,,,,,,,,
,2020-12-24,300937.XSHE,,,,,,,,,,,,,
,2020-12-25,300937.XSHE,,,,,,,,,,,,,
,2020-12-28,300937.XSHE,,,,,,,,,,,,,
,2020-12-29,300937.XSHE,,,,,,,,,,,,,
,2020-12-30,300937.XSHE,,,,,,,,,,,,,
,2020-12-31,300937.XSHE,,,,,,,,,,,,,
,2021-01-04,300937.XSHE,,,,,,,,,,,,,
,2021-01-05,300937.XSHE,,,,,,,,,,,,,
,2021-01-06,300937.XSHE,,,,,,,,,,,,,
,2021-01-07,300937.XSHE,,,,,,,,,,,,,
,2021-01-08,300937.XSHE,,,,,,,,,,,,,
,2021-01-11,300937.XSHE,,,,,,,,,,,,,
,2021-01-12,300937.XSHE,,,,,,,,,,,,,
,2021-01-13,300937.XSHE,,,,,,,,,,,,,
,2021-01-14,300937.XSHE,,,,,,,,,,,,,
,2021-01-15,300937.XSHE,,,,,,,,,,,,,
,2021-01-18,300937.XSHE,,,,,,,,,,,,,
,2021-01-19,300937.XSHE,,,,,,,,,,,,,
,2021-01-20,300937.XSHE,,,,,,,,,,,,,
,2021-01-21,300937.XSHE,,,,,,,,,,,,,
,2021-01-22,300937.XSHE,,,,,,,,,,,,,
,2021-01-25,300937.XSHE,,,,,,,,,,,,,
,2021-01-26,300937.XSHE,,,,,,,,,,,,,
,2021-01-27,300937.XSHE,37.0,39.94,35.06,46.5,15551081.0,623533077.35,,,,,,,
,2021-01-28,300937.XSHE,35.0,48.0,33.51,49.5,14931819.0,616707766.78,,,,,,,
,2021-01-29,300937.XSHE,48.8,91.0,45.33,150.0,17051919.0,1107195747.28,,,,,,,
,2021-02-01,300937.XSHE,88.0,120.8,88.0,133.0,15680841.0,1688593140.22,,,,,,,
,2021-02-02,300937.XSHE,102.08,77.06,76.8,114.8,13035806.0,1213360202.08,,,,,,,
,2021-02-03,300937.XSHE,72.0,92.47,67.87,92.47,13301424.0,1021597268.64,,,,,,,
,2021-02-04,300937.XSHE,86.0,95.0,84.0,103.99,13349913.0,1257145034.91,,,,,,,
,2021-02-05,300937.XSHE,92.22,81.68,80.01,99.0,9211840.0,825957209.17,,,,,,,
,2021-02-08,300937.XSHE,78.5,79.99,73.26,87.29,9269579.0,739266479.84,,,,,,,
,2021-02-09,300937.XSHE,79.0,65.22,64.0,79.88,9894821.0,706482713.68,,,,,,,
,2021-02-10,300937.XSHE,63.0,73.84,63.0,78.26,10638683.0,752349603.38,,,,,,,
,2021-02-18,300937.XSHE,72.5,73.79,71.5,80.9,9173002.0,693029386.16,,,,,,,
,2021-02-19,300937.XSHE,75.0,88.55,74.02,88.55,11310619.0,930475716.63,,,,,,,
739.0,2021-02-22,300937.XSHE,84.0,91.99,82.0,97.75,12226759.0,1097003052.74,1.0,106.26,70.84,89.72,88.55,0.0,
,2021-02-23,300937.XSHE,87.38,91.15,85.05,99.0,10336741.0,965026420.65,,,,,,,
,2021-02-24,300937.XSHE,88.0,88.05,87.13,95.15,7756464.0,703335437.23,,,,,,,
,2021-02-25,300937.XSHE,92.45,99.99,92.22,103.0,10333780.0,1013698392.2,,,,,,,
,2021-02-26,300937.XSHE,96.99,89.96,88.5,103.96,9294652.0,915966735.93,,,,,,,
,2021-03-01,300937.XSHE,87.0,90.41,85.33,92.8,7680286.0,680528056.97,,,,,,,
,2021-03-02,300937.XSHE,93.0,106.0,92.42,106.0,10540292.0,1043317519.15,,,,,,,
,2021-03-03,300937.XSHE,102.2,109.71,100.16,112.98,9433300.0,1005310155.58,,,,,,,
,2021-03-04,300937.XSHE,108.0,108.31,102.82,112.42,7974946.0,865304110.85,,,,,,,
,2021-03-05,300937.XSHE,109.36,112.51,106.35,116.0,8003073.0,896554369.67,,,,,,,
,2021-03-08,300937.XSHE,115.0,110.0,109.21,117.5,7548864.0,851706378.4,,,,,,,
,2021-03-09,300937.XSHE,105.55,90.0,88.8,108.25,8235917.0,792796139.23,,,,,,,
,2021-03-10,300937.XSHE,90.0,94.7,90.0,98.25,6398635.0,606828884.63,,,,,,,
,2021-03-11,300937.XSHE,96.0,89.45,83.6,96.0,7396732.0,653687679.51,,,,,,,
,2021-03-12,300937.XSHE,88.5,85.29,82.98,91.21,6955352.0,601342876.2,,,,,,,
,2021-03-15,300937.XSHE,82.2,79.17,78.3,84.28,5469032.0,442975746.2,,,,,,,
,2021-03-16,300937.XSHE,80.5,83.74,80.5,84.35,5918605.0,489299806.56,,,,,,,
,2021-03-17,300937.XSHE,82.0,89.16,80.6,90.5,7384827.0,633048027.32,,,,,,,
,2021-03-18,300937.XSHE,86.92,85.37,84.9,89.0,6471208.0,559629710.03,,,,,,,
,2021-03-19,300937.XSHE,83.39,81.67,81.6,86.45,5068187.0,424077229.38,,,,,,,
,2021-03-22,300937.XSHE,85.6,87.0,85.28,89.9,7533890.0,658668420.59,,,,,,,
,2021-03-23,300937.XSHE,84.01,84.1,78.6,87.0,7368483.0,607975783.31,,,,,,,
,2021-03-24,300937.XSHE,81.84,80.0,79.64,82.2,3748358.0,302418769.72,,,,,,,
,2021-03-25,300937.XSHE,78.1,74.8,74.08,78.9,4058930.0,306497841.07,,,,,,,
,2021-03-26,300937.XSHE,75.9,75.48,73.72,76.61,3313361.0,249752616.87,,,,,,,
,2021-03-29,300937.XSHE,77.0,78.76,76.1,81.1,4919292.0,388063776.96,,,,,,,
,2021-03-30,300937.XSHE,78.0,75.75,75.0,78.73,4158865.0,316929014.56,,,,,,,
,2021-03-31,300937.XSHE,75.78,73.0,71.99,75.93,3533191.0,257922252.58,,,,,,,
,2021-04-01,300937.XSHE,73.5,70.58,69.58,73.52,3949874.0,280198794.27,,,,,,,
,2021-04-02,300937.XSHE,70.38,71.86,69.39,72.6,4098860.0,291861648.07,,,,,,,
,2021-04-06,300937.XSHE,71.13,72.29,70.61,73.36,3520890.0,253553732.73,,,,,,,
,2021-04-07,300937.XSHE,71.61,74.98,70.66,75.38,5563082.0,408302256.22,,,,,,,
,2021-04-08,300937.XSHE,73.87,78.47,71.7,85.85,8104049.0,636329404.28,,,,,,,
,2021-04-09,300937.XSHE,75.5,77.78,75.2,80.99,5326535.0,411305829.96,,,,,,,
,2021-04-12,300937.XSHE,77.6,72.55,71.89,77.6,3833597.0,285093295.57,,,,,,,
,2021-04-13,300937.XSHE,72.67,71.69,71.0,73.98,2222790.0,160880786.8,,,,,,,
,2021-04-14,300937.XSHE,71.96,70.95,69.79,72.29,2254790.0,160285690.2,,,,,,,
,2021-04-15,300937.XSHE,71.5,68.13,67.51,71.5,2843573.0,195896528.3,,,,,,,
,2021-04-16,300937.XSHE,63.58,66.26,63.58,67.8,2976142.0,196005648.18,,,,,,,
,2021-04-19,300937.XSHE,65.91,66.97,65.6,67.66,2336480.0,156326519.2,,,,,,,
,2021-04-20,300937.XSHE,67.16,65.95,65.92,69.69,2980275.0,201938033.24,,,,,,,
,2021-04-21,300937.XSHE,65.22,63.33,63.0,65.9,3339965.0,214097407.29,,,,,,,
,2021-04-22,300937.XSHE,63.96,63.75,63.2,65.3,2485065.0,159073729.84,,,,,,,
,2021-04-23,300937.XSHE,64.27,61.2,60.54,64.54,3218622.0,197935129.05,,,,,,,
,2021-04-26,300937.XSHE,60.9,62.5,59.6,64.98,3642875.0,227259247.34,,,,,,,
,2021-04-27,300937.XSHE,63.58,59.03,58.36,63.63,3247008.0,194853298.09,,,,,,,
,2021-04-28,300937.XSHE,59.12,59.88,57.5,61.2,2793120.0,165905155.43,,,,,,,
,2021-04-29,300937.XSHE,59.35,56.5,56.1,59.6,3348111.0,192422382.25,,,,,,,
,2021-04-30,300937.XSHE,57.28,54.33,54.06,57.28,2691719.0,149229052.37,,,,,,,
,2021-05-06,300937.XSHE,54.41,54.65,54.1,55.88,2049063.0,112358898.84,,,,,,,
,2021-05-07,300937.XSHE,54.73,52.48,52.36,55.3,2167358.0,115587069.78,,,,,,,
,2021-05-10,300937.XSHE,52.99,53.38,51.8,53.58,2020569.0,107059732.68,,,,,,,
,2021-05-11,300937.XSHE,53.21,64.06,53.21,64.06,4771250.0,293457240.42,,,,,,,
,2021-05-12,300937.XSHE,68.8,69.14,67.0,73.5,11170514.0,781792086.5,,,,,,,
,2021-05-13,300937.XSHE,64.0,69.21,62.94,73.69,8760299.0,602338672.72,,,,,,,
,2021-05-14,300937.XSHE,68.0,66.59,65.65,69.21,5432730.0,363693445.43,,,,,,,
,2021-05-17,300937.XSHE,66.0,65.02,63.02,67.8,4146123.0,271706874.45,,,,,,,
,2021-05-18,300937.XSHE,65.02,66.02,64.4,67.1,4394948.0,288406799.97,,,,,,,
,2021-05-19,300937.XSHE,65.9,62.65,62.57,66.0,4314782.0,274898656.66,,,,,,,
,2021-05-20,300937.XSHE,62.78,60.3,59.8,63.19,3489476.0,212969317.24,,,,,,,
,2021-05-21,300937.XSHE,61.54,58.89,58.65,61.56,2500185.0,149408332.96,,,,,,,
,2021-05-24,300937.XSHE,59.24,58.25,57.35,59.7,2171919.0,126083124.97,,,,,,,
,2021-05-25,300937.XSHE,58.35,60.4,58.35,62.99,4857607.0,297279863.79,,,,,,,
,2021-05-26,300937.XSHE,59.46,61.05,58.25,61.8,3949756.0,238174879.49,,,,,,,
,2021-05-27,300937.XSHE,61.0,63.13,60.48,63.88,5371859.0,336317870.31,,,,,,,
,2021-05-28,300937.XSHE,62.8,59.04,59.0,63.48,4633182.0,281502158.97,,,,,,,
,2021-05-31,300937.XSHE,57.81,59.35,57.66,59.85,2661820.0,156896303.51,,,,,,,
,2021-06-01,300937.XSHE,59.14,60.65,59.01,62.86,3295942.0,201570157.17,,,,,,,
,2021-06-02,300937.XSHE,59.8,58.29,58.1,60.46,2782374.0,164043510.78,,,,,,,
